Name,Bounding Box,Area,Confidence,cropped_image_path,Image_Index,Title,Museum,Description (Brief),Location,Credit Line,ID Number,catalog number,accession number,Object Name,Object Type,Physical Description,Measurements,place made,See more items in,Record ID,Metadata Usage (text),GUID (Link to Original Record),Image_URL,publisher,printer,Related Publication,Subject,depicted,Associated Place,Artist,Sitter,Exhibition Label,Provenance,Object number,Restrictions & Rights,Type,Medium,Dimensions,Topic,Place,Possibly,Created by,Worn by,Description,Place used,Classification,Manufactured by,Subject of,Exhibition,On View,associated,depicted (sitter),decorative motif,associated date,Exhibition Location,used,associated location,manufacturer,Place Made,location of statue in painting,"associated, owner",original artist,location of the fountain on the hat,producer,referenced,located,retailer,location,depicted; decorative motif,distributor,maker number,place used,artist,Other Terms,copyright holder,related event,distributors,distributor?,lithographer,engraved date,engraver,graphic artist,publisher; copywriter,issuer,designer,"copyright holder, publisher",originator,publisher; distributor,originator of central image,copyright holder; publisher,lithographer; publisher,dedicated to,artist; lithographer,owner; user,place owned; place used,lithographers,daguerreotypist,made,made in,commemorated,agent,distributor; publisher,copyright holder; depicted,Credit Line.ORG,See more items in.ORG,Topic.MISC,Worn by.PER,Worn by.MISC,Description.PER,Description.MISC,Place used.LOC,Topic.LOC,Manufactured by.ORG,Subject of.ORG,Subject of.MISC,Exhibition.MISC,On View.ORG,On View.LOC,Credit Line.PER,Record ID.ORG,Artist.PER,Sitter.PER,Object number.ORG,Topic.ORG,Topic.PER,Place.LOC,place made.LOC,Related Publication.LOC,Related Publication.ORG,Description.ORG,Description.LOC,Description (Brief).MISC,Description (Brief).PER,Description (Brief).ORG,Description (Brief).LOC,Credit Line.MISC,Related Publication.PER,distributor.PER,artist.PER,Object Name.PER,depicted.MISC,depicted.PER,engraver.LOC,printer.ORG,Related Publication.MISC,original artist.PER,distributor.ORG,lithographer.ORG,depicted.ORG,Subject.MISC,related event.MISC,See more items in.MISC,publisher.ORG,publisher.PER,copyright holder.PER,publisher; copywriter.PER,depicted (sitter).PER,depicted (sitter).LOC,lithographer.PER,graphic artist.PER,publisher.LOC,printer.LOC,printer.PER,Subject.ORG,distributors.ORG,lithographer; publisher.ORG,original artist.ORG,copyright holder; publisher.PER,related event.ORG,commemorated.ORG
sleeve,"[516, 121, 691, 540]",73325,0.9781635999679565,archive/cropped_images/image_10_sleeve_0.jpg,10,"Jacket and pants worn by MC Hammer in music video for ""They Put Me in the Mix""",National Museum of African American History and Culture,,,['Collection of the Smithsonian National Museum of African American History and Culture'],,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2011.153.7.1-.2'],['CC0'],['http://n2t.net/ark:/65665/fd5f8983f49-b2a6-4d27-8d8e-a1b21fa5387c'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2011_153_7_1-2_001.jpg,,,,,,,,,,,['2011.153.7.1-.2'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']","['ensembles (costume)', 'jackets', 'trousers']","['Jacket: synthetic fiber, foam, and metal button', 'Pants: synthetic fiber and elastic']","['H x W x D (2011.153.7.1-.2 on form): 61 × 25 × 16 1/2 in. (154.9 × 63.5 × 41.9 cm)', 'H x W x D (2011.153.7.1 jacket on form): 23 1/2 × 25 × 16 1/2 in. (59.7 × 63.5 × 41.9 cm)', 'H x W (2011.153.7.1 jacket flat): 23 1/2 × 21 1/2 in. (59.7 × 54.6 cm)', 'H x W x D (2011.153.7.2 pants on form): 46 × 17 × 13 in. (116.8 × 43.2 × 33 cm)', 'H x W (2011.153.7.2 pants flat): 44 × 17 1/2 in. (111.8 × 44.5 cm)']","['African American', 'Clothing and dress', 'Costume', 'Dance', 'Fashion', 'Hip-hop (Music)']",,,['Unidentified'],"['MC Hammer, American, born 1962']","['This blue jacket (.1) and Hammer pants (.2) were worn by the rapper and dancer MC Hammer in the 1988 music video for his song ""They Put Me in the Mix.""', '(.1): Blue cropped jacket with full-length sleeves. The jacket is made of a bright blue synthetic fabric and has a notched collar. The front of the jacket has an open front style with a single button closure at the bottom center front. The large circular gold button has a raised design of an eagle holding an anchor surrounded by stars, and is attached with the eagle upside down. The button closes around a loop on the proper left front made from the blue fabric. The sleeves are wide at the shoulder and taper toward the wrist. The jacket is fully lined with a white synthetic fabric. There are thick shoulder pads attached between the facing and lining fabric.', '(.2): Blue Hammer style pants with black waistband. The pants are made of the same blue synthetic fabric as the jacket. The legs are wide-legged with a slight taper toward the hem, ending at the ankle. A gusset is sewn between the legs to make the crotch loose and baggy. The blue fabric is gathered at the top and joined to a wide black elastic waistband, which is seamed at the center back. The pant legs are hemmed with black thread. The pants are not lined.']","['California, United States, North and Central America']","['Clothing - Fashion and Historical', 'Clothing - Costume']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],['African American'],['MC Hammer'],['American'],"['Hammer', 'MC Hammer']","['the Mix', 'Blue Hammer']","['California', 'United States', 'North', 'Central America']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,"[88, 134, 264, 534]",70400,0.9898068308830261,archive/cropped_images/image_10_sleeve_1.jpg,10,"Jacket and pants worn by MC Hammer in music video for ""They Put Me in the Mix""",National Museum of African American History and Culture,,,['Collection of the Smithsonian National Museum of African American History and Culture'],,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2011.153.7.1-.2'],['CC0'],['http://n2t.net/ark:/65665/fd5f8983f49-b2a6-4d27-8d8e-a1b21fa5387c'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2011_153_7_1-2_001.jpg,,,,,,,,,,,['2011.153.7.1-.2'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']","['ensembles (costume)', 'jackets', 'trousers']","['Jacket: synthetic fiber, foam, and metal button', 'Pants: synthetic fiber and elastic']","['H x W x D (2011.153.7.1-.2 on form): 61 × 25 × 16 1/2 in. (154.9 × 63.5 × 41.9 cm)', 'H x W x D (2011.153.7.1 jacket on form): 23 1/2 × 25 × 16 1/2 in. (59.7 × 63.5 × 41.9 cm)', 'H x W (2011.153.7.1 jacket flat): 23 1/2 × 21 1/2 in. (59.7 × 54.6 cm)', 'H x W x D (2011.153.7.2 pants on form): 46 × 17 × 13 in. (116.8 × 43.2 × 33 cm)', 'H x W (2011.153.7.2 pants flat): 44 × 17 1/2 in. (111.8 × 44.5 cm)']","['African American', 'Clothing and dress', 'Costume', 'Dance', 'Fashion', 'Hip-hop (Music)']",,,['Unidentified'],"['MC Hammer, American, born 1962']","['This blue jacket (.1) and Hammer pants (.2) were worn by the rapper and dancer MC Hammer in the 1988 music video for his song ""They Put Me in the Mix.""', '(.1): Blue cropped jacket with full-length sleeves. The jacket is made of a bright blue synthetic fabric and has a notched collar. The front of the jacket has an open front style with a single button closure at the bottom center front. The large circular gold button has a raised design of an eagle holding an anchor surrounded by stars, and is attached with the eagle upside down. The button closes around a loop on the proper left front made from the blue fabric. The sleeves are wide at the shoulder and taper toward the wrist. The jacket is fully lined with a white synthetic fabric. There are thick shoulder pads attached between the facing and lining fabric.', '(.2): Blue Hammer style pants with black waistband. The pants are made of the same blue synthetic fabric as the jacket. The legs are wide-legged with a slight taper toward the hem, ending at the ankle. A gusset is sewn between the legs to make the crotch loose and baggy. The blue fabric is gathered at the top and joined to a wide black elastic waistband, which is seamed at the center back. The pant legs are hemmed with black thread. The pants are not lined.']","['California, United States, North and Central America']","['Clothing - Fashion and Historical', 'Clothing - Costume']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],['African American'],['MC Hammer'],['American'],"['Hammer', 'MC Hammer']","['the Mix', 'Blue Hammer']","['California', 'United States', 'North', 'Central America']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,"[488, 176, 595, 440]",28248,0.9792475700378418,archive/cropped_images/image_11_sleeve_0.jpg,11,Fur coat worn by Max Julien as Goldie in the film The Mack,National Museum of African American History and Culture,,,['Collection of the Smithsonian National Museum of African American History and Culture'],,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2015.199'],['CC0'],['http://n2t.net/ark:/65665/fd5f1df53e5-a7ff-4f2e-99fb-fdc326cb164b'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2015_199_001.jpg,,,,,,,,,,,['2015.199'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']",['coats'],"['fur, leather, cellulose acetate cloth, and plastic buttons']",['H x W x D (On form): 54 3/4 × 26 3/4 × 12 1/2 in. (139.1 × 67.9 × 31.8 cm)'],"['African American', 'Actors', 'Blaxploitation films', 'Clothing and dress', 'Costume', 'Fashion', 'Film', 'Hollywood (Film)']",,,,"['Max Julien, American, 1933 - 2022']","['This cream fur coat was worn by Max Julien as the character John ""Goldie"" Mickens in the 1973 film ""The Mack."" The single-breasted fur coat is long, falling mid-calf on Julien, with an oversized notched spread collar, full-length sleeves, and a split tail. It closes at the center front with two (2) large round pearl-like plastic buttons. The cuffs, the interior front opening, and the interior tails are trimmed with white leather. The yoke and the collar lining are also faced in white leather. A 2 1/2 inch wide belt of the white leather is attached at the sides across the back waist. The coat is fully lined with cream acetate.']","['Oakland, Alameda County, California, United States, North and Central America']",['Clothing - Costume'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],"['African American', 'B']",['Max Julien'],['American'],"['Max Julien', 'John', '##ie', 'Mickens', 'Julien']",['The Mack'],"['Oakland', 'Al', '##ameda County', 'California', 'United States', 'North', 'Central America']",['Hollywood'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,"[223, 141, 310, 478]",29319,0.9478754997253418,archive/cropped_images/image_11_sleeve_1.jpg,11,Fur coat worn by Max Julien as Goldie in the film The Mack,National Museum of African American History and Culture,,,['Collection of the Smithsonian National Museum of African American History and Culture'],,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2015.199'],['CC0'],['http://n2t.net/ark:/65665/fd5f1df53e5-a7ff-4f2e-99fb-fdc326cb164b'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2015_199_001.jpg,,,,,,,,,,,['2015.199'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']",['coats'],"['fur, leather, cellulose acetate cloth, and plastic buttons']",['H x W x D (On form): 54 3/4 × 26 3/4 × 12 1/2 in. (139.1 × 67.9 × 31.8 cm)'],"['African American', 'Actors', 'Blaxploitation films', 'Clothing and dress', 'Costume', 'Fashion', 'Film', 'Hollywood (Film)']",,,,"['Max Julien, American, 1933 - 2022']","['This cream fur coat was worn by Max Julien as the character John ""Goldie"" Mickens in the 1973 film ""The Mack."" The single-breasted fur coat is long, falling mid-calf on Julien, with an oversized notched spread collar, full-length sleeves, and a split tail. It closes at the center front with two (2) large round pearl-like plastic buttons. The cuffs, the interior front opening, and the interior tails are trimmed with white leather. The yoke and the collar lining are also faced in white leather. A 2 1/2 inch wide belt of the white leather is attached at the sides across the back waist. The coat is fully lined with cream acetate.']","['Oakland, Alameda County, California, United States, North and Central America']",['Clothing - Costume'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],"['African American', 'B']",['Max Julien'],['American'],"['Max Julien', 'John', '##ie', 'Mickens', 'Julien']",['The Mack'],"['Oakland', 'Al', '##ameda County', 'California', 'United States', 'North', 'Central America']",['Hollywood'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoe,"[291, 1416, 397, 1567]",16006,0.9891471862792969,archive/cropped_images/image_12_shoe_0.jpg,12,Pair of boots from an S1W uniform,National Museum of African American History and Culture,,,"['Collection of the Smithsonian National Museum of African American History and Culture, Gift of Public Enemy']",,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2011.33.8.8ab'],['CC0'],['http://n2t.net/ark:/65665/fd55485638f-030e-43b6-bd45-b403fd05186e'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2011_33_8_001.jpg,,,,,,,,,,,['2011.33.8.8ab'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']",['boots'],"['leather, nylon, rubber, and metal']",['H x W: 9 1/2 x 4 x 11 1/4 in. (24.1 x 10.2 x 28.6 cm)'],"['African American', 'Clothing and dress', 'Costume', 'Hip-hop (Music)']",,,,,"['A pair of black boots from an S1W uniform. The toe box, lacing panel, and heel cap of the boots are made from black leather. The side vamps and the tongue are made from black ripstop nylon fabric. Black faux suede trims the foot opening. A tag with metallic silver embroidery reading ""HI-TEC"" is sewn at the top facing side of each tongue. The lacings are made from metal grommets painted black. The outer soles are made from black rubber with non-skid grooves in the soles and the word ""HI-TEC"" in raised red text at the center of the sole. The same word is also stamped in the black rubber at the exterior side of the toe box and the exterior side of the heel cap near the sole. The shoes are lined with black synthetic moisture wicking fabric. A black tag with silver metallic embroidery is sewn at the top interior of the tongues reading ""MAGNUM"" with company information below it. Sewn along the bottom of the manufacturer\'s tag is an additional white tag with materials and sizing information printed on it in black. The shoes do not have laces with them.']",,['Clothing - Costume'],"['Magnum, founded 1982']","['Public Enemy, American, founded 1982']",['Musical Crossroads'],"['NMAAHC (1400 Constitution Ave NW), National Mall Location, Culture/Fourth Floor, 4 053']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],['African American'],,,,,,,['Magnum'],['Public Enemy'],['American'],['Musical Crossroads'],['NMAAHC'],"['Constitution Ave', 'National Mall Location', 'Floor']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoe,"[416, 1430, 504, 1579]",13112,0.9814598560333252,archive/cropped_images/image_12_shoe_1.jpg,12,Pair of boots from an S1W uniform,National Museum of African American History and Culture,,,"['Collection of the Smithsonian National Museum of African American History and Culture, Gift of Public Enemy']",,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2011.33.8.8ab'],['CC0'],['http://n2t.net/ark:/65665/fd55485638f-030e-43b6-bd45-b403fd05186e'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2011_33_8_001.jpg,,,,,,,,,,,['2011.33.8.8ab'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']",['boots'],"['leather, nylon, rubber, and metal']",['H x W: 9 1/2 x 4 x 11 1/4 in. (24.1 x 10.2 x 28.6 cm)'],"['African American', 'Clothing and dress', 'Costume', 'Hip-hop (Music)']",,,,,"['A pair of black boots from an S1W uniform. The toe box, lacing panel, and heel cap of the boots are made from black leather. The side vamps and the tongue are made from black ripstop nylon fabric. Black faux suede trims the foot opening. A tag with metallic silver embroidery reading ""HI-TEC"" is sewn at the top facing side of each tongue. The lacings are made from metal grommets painted black. The outer soles are made from black rubber with non-skid grooves in the soles and the word ""HI-TEC"" in raised red text at the center of the sole. The same word is also stamped in the black rubber at the exterior side of the toe box and the exterior side of the heel cap near the sole. The shoes are lined with black synthetic moisture wicking fabric. A black tag with silver metallic embroidery is sewn at the top interior of the tongues reading ""MAGNUM"" with company information below it. Sewn along the bottom of the manufacturer\'s tag is an additional white tag with materials and sizing information printed on it in black. The shoes do not have laces with them.']",,['Clothing - Costume'],"['Magnum, founded 1982']","['Public Enemy, American, founded 1982']",['Musical Crossroads'],"['NMAAHC (1400 Constitution Ave NW), National Mall Location, Culture/Fourth Floor, 4 053']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],['African American'],,,,,,,['Magnum'],['Public Enemy'],['American'],['Musical Crossroads'],['NMAAHC'],"['Constitution Ave', 'National Mall Location', 'Floor']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar,"[300, 33, 482, 204]",31122,0.951107919216156,archive/cropped_images/image_12_collar_2.jpg,12,Pair of boots from an S1W uniform,National Museum of African American History and Culture,,,"['Collection of the Smithsonian National Museum of African American History and Culture, Gift of Public Enemy']",,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2011.33.8.8ab'],['CC0'],['http://n2t.net/ark:/65665/fd55485638f-030e-43b6-bd45-b403fd05186e'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2011_33_8_001.jpg,,,,,,,,,,,['2011.33.8.8ab'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']",['boots'],"['leather, nylon, rubber, and metal']",['H x W: 9 1/2 x 4 x 11 1/4 in. (24.1 x 10.2 x 28.6 cm)'],"['African American', 'Clothing and dress', 'Costume', 'Hip-hop (Music)']",,,,,"['A pair of black boots from an S1W uniform. The toe box, lacing panel, and heel cap of the boots are made from black leather. The side vamps and the tongue are made from black ripstop nylon fabric. Black faux suede trims the foot opening. A tag with metallic silver embroidery reading ""HI-TEC"" is sewn at the top facing side of each tongue. The lacings are made from metal grommets painted black. The outer soles are made from black rubber with non-skid grooves in the soles and the word ""HI-TEC"" in raised red text at the center of the sole. The same word is also stamped in the black rubber at the exterior side of the toe box and the exterior side of the heel cap near the sole. The shoes are lined with black synthetic moisture wicking fabric. A black tag with silver metallic embroidery is sewn at the top interior of the tongues reading ""MAGNUM"" with company information below it. Sewn along the bottom of the manufacturer\'s tag is an additional white tag with materials and sizing information printed on it in black. The shoes do not have laces with them.']",,['Clothing - Costume'],"['Magnum, founded 1982']","['Public Enemy, American, founded 1982']",['Musical Crossroads'],"['NMAAHC (1400 Constitution Ave NW), National Mall Location, Culture/Fourth Floor, 4 053']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],['African American'],,,,,,,['Magnum'],['Public Enemy'],['American'],['Musical Crossroads'],['NMAAHC'],"['Constitution Ave', 'National Mall Location', 'Floor']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buckle,"[302, 464, 361, 552]",5192,0.9254494905471802,archive/cropped_images/image_12_buckle_3.jpg,12,Pair of boots from an S1W uniform,National Museum of African American History and Culture,,,"['Collection of the Smithsonian National Museum of African American History and Culture, Gift of Public Enemy']",,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2011.33.8.8ab'],['CC0'],['http://n2t.net/ark:/65665/fd55485638f-030e-43b6-bd45-b403fd05186e'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2011_33_8_001.jpg,,,,,,,,,,,['2011.33.8.8ab'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']",['boots'],"['leather, nylon, rubber, and metal']",['H x W: 9 1/2 x 4 x 11 1/4 in. (24.1 x 10.2 x 28.6 cm)'],"['African American', 'Clothing and dress', 'Costume', 'Hip-hop (Music)']",,,,,"['A pair of black boots from an S1W uniform. The toe box, lacing panel, and heel cap of the boots are made from black leather. The side vamps and the tongue are made from black ripstop nylon fabric. Black faux suede trims the foot opening. A tag with metallic silver embroidery reading ""HI-TEC"" is sewn at the top facing side of each tongue. The lacings are made from metal grommets painted black. The outer soles are made from black rubber with non-skid grooves in the soles and the word ""HI-TEC"" in raised red text at the center of the sole. The same word is also stamped in the black rubber at the exterior side of the toe box and the exterior side of the heel cap near the sole. The shoes are lined with black synthetic moisture wicking fabric. A black tag with silver metallic embroidery is sewn at the top interior of the tongues reading ""MAGNUM"" with company information below it. Sewn along the bottom of the manufacturer\'s tag is an additional white tag with materials and sizing information printed on it in black. The shoes do not have laces with them.']",,['Clothing - Costume'],"['Magnum, founded 1982']","['Public Enemy, American, founded 1982']",['Musical Crossroads'],"['NMAAHC (1400 Constitution Ave NW), National Mall Location, Culture/Fourth Floor, 4 053']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],['African American'],,,,,,,['Magnum'],['Public Enemy'],['American'],['Musical Crossroads'],['NMAAHC'],"['Constitution Ave', 'National Mall Location', 'Floor']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,"[547, 148, 683, 694]",74256,0.9741659164428711,archive/cropped_images/image_12_sleeve_4.jpg,12,Pair of boots from an S1W uniform,National Museum of African American History and Culture,,,"['Collection of the Smithsonian National Museum of African American History and Culture, Gift of Public Enemy']",,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2011.33.8.8ab'],['CC0'],['http://n2t.net/ark:/65665/fd55485638f-030e-43b6-bd45-b403fd05186e'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2011_33_8_001.jpg,,,,,,,,,,,['2011.33.8.8ab'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']",['boots'],"['leather, nylon, rubber, and metal']",['H x W: 9 1/2 x 4 x 11 1/4 in. (24.1 x 10.2 x 28.6 cm)'],"['African American', 'Clothing and dress', 'Costume', 'Hip-hop (Music)']",,,,,"['A pair of black boots from an S1W uniform. The toe box, lacing panel, and heel cap of the boots are made from black leather. The side vamps and the tongue are made from black ripstop nylon fabric. Black faux suede trims the foot opening. A tag with metallic silver embroidery reading ""HI-TEC"" is sewn at the top facing side of each tongue. The lacings are made from metal grommets painted black. The outer soles are made from black rubber with non-skid grooves in the soles and the word ""HI-TEC"" in raised red text at the center of the sole. The same word is also stamped in the black rubber at the exterior side of the toe box and the exterior side of the heel cap near the sole. The shoes are lined with black synthetic moisture wicking fabric. A black tag with silver metallic embroidery is sewn at the top interior of the tongues reading ""MAGNUM"" with company information below it. Sewn along the bottom of the manufacturer\'s tag is an additional white tag with materials and sizing information printed on it in black. The shoes do not have laces with them.']",,['Clothing - Costume'],"['Magnum, founded 1982']","['Public Enemy, American, founded 1982']",['Musical Crossroads'],"['NMAAHC (1400 Constitution Ave NW), National Mall Location, Culture/Fourth Floor, 4 053']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],['African American'],,,,,,,['Magnum'],['Public Enemy'],['American'],['Musical Crossroads'],['NMAAHC'],"['Constitution Ave', 'National Mall Location', 'Floor']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pants,"[199, 714, 568, 1478]",281916,0.9656386375427246,archive/cropped_images/image_12_pants_5.jpg,12,Pair of boots from an S1W uniform,National Museum of African American History and Culture,,,"['Collection of the Smithsonian National Museum of African American History and Culture, Gift of Public Enemy']",,,,,,,,,['National Museum of African American History and Culture Collection'],['nmaahc_2011.33.8.8ab'],['CC0'],['http://n2t.net/ark:/65665/fd55485638f-030e-43b6-bd45-b403fd05186e'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAAHC-2011_33_8_001.jpg,,,,,,,,,,,['2011.33.8.8ab'],"['No Known Copyright Restrictions', 'Proper usage is the responsibility of the user.']",['boots'],"['leather, nylon, rubber, and metal']",['H x W: 9 1/2 x 4 x 11 1/4 in. (24.1 x 10.2 x 28.6 cm)'],"['African American', 'Clothing and dress', 'Costume', 'Hip-hop (Music)']",,,,,"['A pair of black boots from an S1W uniform. The toe box, lacing panel, and heel cap of the boots are made from black leather. The side vamps and the tongue are made from black ripstop nylon fabric. Black faux suede trims the foot opening. A tag with metallic silver embroidery reading ""HI-TEC"" is sewn at the top facing side of each tongue. The lacings are made from metal grommets painted black. The outer soles are made from black rubber with non-skid grooves in the soles and the word ""HI-TEC"" in raised red text at the center of the sole. The same word is also stamped in the black rubber at the exterior side of the toe box and the exterior side of the heel cap near the sole. The shoes are lined with black synthetic moisture wicking fabric. A black tag with silver metallic embroidery is sewn at the top interior of the tongues reading ""MAGNUM"" with company information below it. Sewn along the bottom of the manufacturer\'s tag is an additional white tag with materials and sizing information printed on it in black. The shoes do not have laces with them.']",,['Clothing - Costume'],"['Magnum, founded 1982']","['Public Enemy, American, founded 1982']",['Musical Crossroads'],"['NMAAHC (1400 Constitution Ave NW), National Mall Location, Culture/Fourth Floor, 4 053']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Smithsonian National Museum of African American History and Culture'],['National Museum of African American History and Culture Collection'],['African American'],,,,,,,['Magnum'],['Public Enemy'],['American'],['Musical Crossroads'],['NMAAHC'],"['Constitution Ave', 'National Mall Location', 'Floor']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
