Name,Supercategory,Bounding Box,Area,cropped_image_path,Image_Index,Title,Museum,Description (Brief),Location,Credit Line,ID Number,catalog number,accession number,Object Name,Object Type,Physical Description,Measurements,place made,See more items in,Record ID,Metadata Usage (text),GUID (Link to Original Record),Image_URL,publisher,printer,Related Publication,Subject,depicted,Associated Place,Artist,Sitter,Exhibition Label,Provenance,Object number,Restrictions & Rights,Type,Medium,Dimensions,Topic,Place,Possibly,Created by,Worn by,Description,Place used,Classification,Manufactured by,Subject of,Exhibition,On View,associated,depicted (sitter),decorative motif,associated date,Exhibition Location,used,associated location,manufacturer,Place Made,location of statue in painting
sleeve,garment parts,"[93, 188, 171, 295]",8346,archive/cropped_images/image_0_sleeve_0.jpg,0,Untitled (Landscape with harbor and town),National Museum of American History,['Colored print; landscape scene showing small town on a harbor with two steam ships on the water. Large mountain looms in right background. Several people stroll on a dirt road in right and left foreground. Palm trees at left and in foreground indicate a tropical climate. Proof before letters.'],['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2468'],['60.2468'],['228146'],['chromolithograph'],['Chromolithograph'],"['chromolithograph (image production method/technique)', 'ink (overall material)', 'paper (overall material)']","['image: 18 in x 24 1/4 in; 45.72 cm x 61.595 cm', 'overall: 25 in x 30 in; 63.5 cm x 76.2 cm']","['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Clothing & Accessories', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_324793'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-291e-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2003-19689.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,garment parts,"[89, 191, 163, 316]",9250,archive/cropped_images/image_0_sleeve_1.jpg,0,Untitled (Landscape with harbor and town),National Museum of American History,['Colored print; landscape scene showing small town on a harbor with two steam ships on the water. Large mountain looms in right background. Several people stroll on a dirt road in right and left foreground. Palm trees at left and in foreground indicate a tropical climate. Proof before letters.'],['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2468'],['60.2468'],['228146'],['chromolithograph'],['Chromolithograph'],"['chromolithograph (image production method/technique)', 'ink (overall material)', 'paper (overall material)']","['image: 18 in x 24 1/4 in; 45.72 cm x 61.595 cm', 'overall: 25 in x 30 in; 63.5 cm x 76.2 cm']","['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Clothing & Accessories', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_324793'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-291e-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2003-19689.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dress,wholebody,"[103, 182, 293, 442]",49400,archive/cropped_images/image_0_dress_2.jpg,0,Untitled (Landscape with harbor and town),National Museum of American History,['Colored print; landscape scene showing small town on a harbor with two steam ships on the water. Large mountain looms in right background. Several people stroll on a dirt road in right and left foreground. Palm trees at left and in foreground indicate a tropical climate. Proof before letters.'],['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2468'],['60.2468'],['228146'],['chromolithograph'],['Chromolithograph'],"['chromolithograph (image production method/technique)', 'ink (overall material)', 'paper (overall material)']","['image: 18 in x 24 1/4 in; 45.72 cm x 61.595 cm', 'overall: 25 in x 30 in; 63.5 cm x 76.2 cm']","['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Clothing & Accessories', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_324793'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-291e-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2003-19689.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,garment parts,"[93, 188, 171, 295]",8346,archive/cropped_images/image_1_sleeve_0.jpg,1,"The Great International Caledonian Games Held at Jones Woods, New York City, July 1st, 1867 ... 1868",National Museum of American History,"['Colored print of Scottish Games. Proof before letters. A ring of spectators, many dressed in kilts with bagpipes, surrounding participants engaged in a variety of games on an open field. Tents in background.']",['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2404'],['60.2404'],['228146'],['lithograph'],['Lithograph'],"['ink (overall material)', 'paper (overall material)']",['image: 19 in x 32 1/2 in; 48.26 cm x 82.55 cm'],"['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Clothing & Accessories', 'Cultures & Communities', 'Sports & Leisure', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_326152'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-3117-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2003-19598.jpg,['Kelly & Whitehill'],"['Hart, Charles']","['Peters, Harry T.. America on Stone']","['Costume', 'Children', 'Parks, public', 'Dancing', 'Sports spectator', 'Music', 'Games']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,garment parts,"[89, 191, 163, 316]",9250,archive/cropped_images/image_1_sleeve_1.jpg,1,"The Great International Caledonian Games Held at Jones Woods, New York City, July 1st, 1867 ... 1868",National Museum of American History,"['Colored print of Scottish Games. Proof before letters. A ring of spectators, many dressed in kilts with bagpipes, surrounding participants engaged in a variety of games on an open field. Tents in background.']",['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2404'],['60.2404'],['228146'],['lithograph'],['Lithograph'],"['ink (overall material)', 'paper (overall material)']",['image: 19 in x 32 1/2 in; 48.26 cm x 82.55 cm'],"['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Clothing & Accessories', 'Cultures & Communities', 'Sports & Leisure', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_326152'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-3117-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2003-19598.jpg,['Kelly & Whitehill'],"['Hart, Charles']","['Peters, Harry T.. America on Stone']","['Costume', 'Children', 'Parks, public', 'Dancing', 'Sports spectator', 'Music', 'Games']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dress,wholebody,"[103, 182, 293, 442]",49400,archive/cropped_images/image_1_dress_2.jpg,1,"The Great International Caledonian Games Held at Jones Woods, New York City, July 1st, 1867 ... 1868",National Museum of American History,"['Colored print of Scottish Games. Proof before letters. A ring of spectators, many dressed in kilts with bagpipes, surrounding participants engaged in a variety of games on an open field. Tents in background.']",['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2404'],['60.2404'],['228146'],['lithograph'],['Lithograph'],"['ink (overall material)', 'paper (overall material)']",['image: 19 in x 32 1/2 in; 48.26 cm x 82.55 cm'],"['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Clothing & Accessories', 'Cultures & Communities', 'Sports & Leisure', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_326152'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-3117-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2003-19598.jpg,['Kelly & Whitehill'],"['Hart, Charles']","['Peters, Harry T.. America on Stone']","['Costume', 'Children', 'Parks, public', 'Dancing', 'Sports spectator', 'Music', 'Games']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,garment parts,"[93, 188, 171, 295]",8346,archive/cropped_images/image_2_sleeve_0.jpg,2,Court Reception of Columbus,National Museum of American History,"['Colored print of a bearded Columbus wearing a long purple cape and kneeling before king and queen who stand on a throne. Behind Columbus are three Indians bearing gifts. Also in the room are soldiers, courtiers, monks and scholars observing the proceedings. The setting is a Gothic style audience room decorated with statues. Proof before letters.']",['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2474'],['60.2474'],['228146'],['chromolithograph'],['Chromolithograph'],"['chromolithograph (image production method/technique)', 'ink (overall material)', 'paper (overall material)']","['image: 17 1/2 in x 24 3/4 in; 44.45 cm x 62.865 cm', 'overall: 24 in x 30 in; 60.96 cm x 76.2 cm']","['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_324787'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-9fdf-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2011-04402.jpg,,,"['Peters, Harry T.. America on Stone']",['New World'],['Native Americans'],['Spain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,garment parts,"[89, 191, 163, 316]",9250,archive/cropped_images/image_2_sleeve_1.jpg,2,Court Reception of Columbus,National Museum of American History,"['Colored print of a bearded Columbus wearing a long purple cape and kneeling before king and queen who stand on a throne. Behind Columbus are three Indians bearing gifts. Also in the room are soldiers, courtiers, monks and scholars observing the proceedings. The setting is a Gothic style audience room decorated with statues. Proof before letters.']",['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2474'],['60.2474'],['228146'],['chromolithograph'],['Chromolithograph'],"['chromolithograph (image production method/technique)', 'ink (overall material)', 'paper (overall material)']","['image: 17 1/2 in x 24 3/4 in; 44.45 cm x 62.865 cm', 'overall: 24 in x 30 in; 60.96 cm x 76.2 cm']","['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_324787'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-9fdf-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2011-04402.jpg,,,"['Peters, Harry T.. America on Stone']",['New World'],['Native Americans'],['Spain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dress,wholebody,"[103, 182, 293, 442]",49400,archive/cropped_images/image_2_dress_2.jpg,2,Court Reception of Columbus,National Museum of American History,"['Colored print of a bearded Columbus wearing a long purple cape and kneeling before king and queen who stand on a throne. Behind Columbus are three Indians bearing gifts. Also in the room are soldiers, courtiers, monks and scholars observing the proceedings. The setting is a Gothic style audience room decorated with statues. Proof before letters.']",['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2474'],['60.2474'],['228146'],['chromolithograph'],['Chromolithograph'],"['chromolithograph (image production method/technique)', 'ink (overall material)', 'paper (overall material)']","['image: 17 1/2 in x 24 3/4 in; 44.45 cm x 62.865 cm', 'overall: 24 in x 30 in; 60.96 cm x 76.2 cm']","['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_324787'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-9fdf-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2011-04402.jpg,,,"['Peters, Harry T.. America on Stone']",['New World'],['Native Americans'],['Spain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeve,garment parts,"[93, 188, 171, 295]",8346,archive/cropped_images/image_3_sleeve_0.jpg,3,Benjamin Latrobe,National Portrait Gallery,,['Currently not on view'],"['National Portrait Gallery, Smithsonian Institution']",,,,,,,,,['National Portrait Gallery Collection'],['npg_NPG.2011.64'],['CC0'],['http://n2t.net/ark:/65665/sm4291aa9b7-4fe7-404a-a730-d7ca71b5b268'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NPG-NPG_2011_64Latrobe-000003.jpg,,,,,,,"['Charles Frederick Von Breda, 16 Aug 1759 - 1 Dec 1818']","['Benjamin Henry Latrobe, 1 May 1764 - 3 Sep 1820']","['Born Yorkshire, England', 'Benjamin Latrobe brought a new level of sophistication to U.S. architecture. A British emigrant who trained in Germany, he adapted European Neoclassical style to iconic American buildings such as the U.S. Capitol and the White House. His innovative fire-proof construction saved both from destruction after the British set fire to them during the War of 1812 (1812–15).', 'Latrobe was just beginning his career when he posed for this portrait in London. A few years later, he departed for the United States, where he mentored a rising generation of architects, including Robert Mills, who designed this building.', 'Nacido en Yorkshire, Inglaterra', 'Benjamin Latrobe llevó la arquitectura de EE.UU. a un nuevo nivel de refinamiento. Inmigrante británico educado en Alemania, adaptó el estilo neoclásico europeo a edificios emblemáticos estadounidenses, tales como el Capitolio y la Casa Blanca. Su innovadora construcción a prueba de fuego salvó a ambos edificios cuando los británicos intentaron incendiarlos durante la Guerra de 1812 (1812–15).', 'Latrobe apenas comenzaba su carrera cuando posó para este retrato en Londres. Pocos años después partió hacia EE.UU., donde fue mentor de una generación incipiente de arquitectos, entre ellos Robert Mills, quien diseñó este edificio.']","['Anders Rosendahl; A.E. Lyth, 1849; Emil Hultmark by 1942; his daughter, Carna Hultmark Moselius by 1959; Carl David Moselius; sold (Stockholms Auktionsverk 28 May 2009); (Ben Elwes Fine Art, London); purchased 2011 NPG']",['NPG.2011.64'],['CC0'],['Painting'],['Oil on canvas'],"['Stretcher: 18.1 × 13.3 cm (7 1/8 × 5 1/4"")', 'Frame (estimate): 24.1 × 20.3 × 3.8 cm (9 1/2 × 8 × 1 1/2"")']","['Interior', 'Home Furnishings\\Furniture\\Seating\\Chair', 'Printed Material\\Book', 'Costume\\Dress Accessory\\Eyeglasses', 'Equipment\\Drafting & Writing Implements\\Writing implement\\Pen\\Quill', 'Home Furnishings\\Curtain', 'Benjamin Henry Latrobe: Male', 'Benjamin Henry Latrobe: Arts & Culture\\Visual Arts\\Architect', 'Benjamin Henry Latrobe: Science and Technology\\Engineer\\Civil engineer', 'Portrait']",,,,,,,,,,,,,,,,,,,,,
