Name,Bounding Box,Area,Confidence,cropped_image_path,Image_Index,Title,Museum,Description (Brief),Location,Credit Line,ID Number,catalog number,accession number,Object Name,Object Type,Physical Description,Measurements,place made,See more items in,Record ID,Metadata Usage (text),GUID (Link to Original Record),Image_URL,Related Publication,Subject,depicted,Artist,Sitter,Exhibition Label,Provenance,Object number,Restrictions & Rights,Type,Medium,Dimensions,Topic,Place,Possibly,Description,Classification,Exhibition,On View,Other Terms,Copy after,Department,Publisher,Attribution,Collection Description,Lithographer,Studio,Associated Title,Formerly identified as,combined_medium_text,medium_cat,medium,combined_topic_text,topic_cat,topic
neckline,"[297, 40, 523, 133]",21018,0.981303334236145,archive/cropped_images/image_59_neckline_0.jpg,59,Union Company Cape,National Museum of American History,,['Currently not on view'],['Gift of CIGNA Museum and Art Collection'],['2005.0233.0130'],['2005.0233.0130'],['2005.0233'],"['cape, fire uniform']",,"['oil cloth (overall material)', 'paint (overall material)']",['overall: 25 in x 43 in; 63.5 cm x 109.22 cm'],['United States'],"['Home and Community Life: Fire Fighting and Law Enforcement', 'Cultures & Communities', 'Clothing & Accessories', 'Work', 'Firefighting Collection', 'Firefighting Capes']",['nmah_1326340'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746ac-4797-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-AHB2012q28335.jpg,"['McCosker, M.J.. The Historical Collection of the Insurance Company of North America', 'McCosker, M.J.. The Historical Collection of Insurance Company of North America']",,,,,,,,,,,,,,,"['Some early American firefighters wore capes for protection, ornamentation, and identification. The stiff oil cloth protected their shoulders and upper body against fiery embers and water, and the decorative painting served to identify company members at chaotic fire scenes or on parade. The capes were often painted by local sign painters, some skilled artists like John A. Woodside, who also painted the company’s hats and banners and decorated their fire engines. Many of the capes in the firefighting collection display patriotic names and symbolism, reflecting themes important to 19th century volunteers, as well as the pride they felt in the early founding date of their fire company.', 'This oil cloth cape is painted white, with the text “UNION/1747” in red with brown shading in the center of the cape. The cape’s shoulders have the number “1” painted in red with brown shading. This cape likely belonged to a member of the Union Fire Company of Trenton, New Jersey, which was founded February 8th, 1747.']",,,,,,,,,,,,,," ['cape, fire uniform'] ['oil cloth (overall material)', 'paint (overall material)']",6,paint,,2,undefined
neckline,"[329, 141, 470, 164]",3243,0.93466979265213,archive/cropped_images/image_69_neckline_0.jpg,69,"Helmet Frontpiece, Asst. Foreman Hose 2",National Museum of American History,"[""The frontpiece (also known as shield or badge) of firefighting helmets has been a distinctive part of the American firefighter’s helmet since it was developed by Henry Gratacap in the early 19th century. These frontpieces displayed a variety of information. The fire company's name and number appeared, often alongside the city or town where it was based. The frontpiece could also include the owner's initials and rank. Most fire helmets had leather frontpieces, but frontpieces could also be made of metal, especially on presentation helmets or those worn in parades."", 'This metal frontpiece was made during the 19th century. The frontpiece has two red-painted metal banners that read “ASST FOREMAN/HOSE” in brass lettering, with a large brass number “2” in the center. Metal frontpieces were often used in parades or special occasions, rather than in everyday use.']",['Currently not on view'],['Gift of CIGNA Museum and Art Collection'],['2005.0233.1472'],['2005.0233.1472'],['2005.0233'],"['frontpiece, helmet']",,['metal (overall material)'],['overall: 8 1/2 in x 4 1/2 in; 21.59 cm x 11.43 cm'],['United States'],"['Home and Community Life: Fire Fighting and Law Enforcement', 'Clothing & Accessories', 'Firefighting Collection', 'Work', 'Helmet Frontpieces']",['nmah_1394932'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746ad-3553-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-AHB2012q00651.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ['frontpiece, helmet'] ['metal (overall material)']",6,paint,,2,undefined
neckline,"[244, 7, 737, 118]",54723,0.9496630430221558,archive/cropped_images/image_72_neckline_0.jpg,72,Friendship Company Cape,National Museum of American History,,['Currently not on view'],['Gift of CIGNA Museum and Art Collection'],['2005.0233.0125'],['2005.0233.0125'],['2005.0233'],"['cape, fire uniform']",,"['oil cloth (overall material)', 'paint (overall material)']",['overall: 27 in x 42 1/2 in; 68.58 cm x 107.95 cm'],['United States'],"['Home and Community Life: Fire Fighting and Law Enforcement', 'Cultures & Communities', 'Clothing & Accessories', 'Work', 'Firefighting Collection', 'Firefighting Capes']",['nmah_1326335'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746ac-46bb-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-AHB2012q28330.jpg,"['McCosker, M.J.. The Historical Collection of the Insurance Company of North America', 'McCosker, M.J.. The Historical Collection of Insurance Company of North America', 'Heritage of Flames']",,,,,,,,,,,,,,,"['Some early American firefighters wore capes for protection, ornamentation, and identification. The stiff oil cloth protected their shoulders and upper body against fiery embers and water, and the decorative painting served to identify company members at chaotic fire scenes or on parade. The capes were often painted by local sign painters, some skilled artists like John A. Woodside, who also painted the company’s hats and banners and decorated their fire engines. Many of the capes in the firefighting collection display patriotic names and symbolism, reflecting themes important to 19th century volunteers, as well as the pride they felt in the early founding date of their fire company.', 'This oil cloth cape is painted red overall with a gold trim. A black banner in the center of the cape reads “FRIENDSHIP” in gold text with the date “1775” in gold below, and the letter “F” in gold on each end. The cape likely belonged to a member of the Friendship Fire Company of Wilmington, Delaware, which was founded in December of 1775. In addition to patriotic ideals, early fire companies also lauded altruistic social values, with names like “Good Will,” “Hope,” and “Harmony.”']",,,,,,,,,,,,,," ['cape, fire uniform'] ['oil cloth (overall material)', 'paint (overall material)']",6,paint,,2,undefined
neckline,"[297, 24, 523, 135]",25086,0.9020554423332214,archive/cropped_images/image_83_neckline_0.jpg,83,Hand In Hand Company Cape,National Museum of American History,,['Currently not on view'],['Gift of CIGNA Museum and Art Collection'],['2005.0233.0127'],['2005.0233.0127'],['2005.0233'],"['cape, fire uniform']",,"['oil cloth (overall material)', 'paint (overall material)']",['overall: 29 in x 43 1/2 in; 73.66 cm x 110.49 cm'],['United States'],"['Home and Community Life: Fire Fighting and Law Enforcement', 'Cultures & Communities', 'Clothing & Accessories', 'Work', 'Firefighting Collection', 'Firefighting Capes']",['nmah_1326337'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746ac-45f0-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-AHB2012q28332.jpg,"['McCosker, M.J.. The Historical Collection of the Insurance Company of North America', 'McCosker, M.J.. The Historical Collection of Insurance Company of North America']",,,,,,,,,,,,,,,"['Some early American firefighters wore capes for protection, ornamentation, and identification. The stiff oil cloth protected their shoulders and upper body against fiery embers and water, and the decorative painting served to identify company members at chaotic fire scenes or on parade. The capes were often painted by local sign painters, some skilled artists like John A. Woodside, who also painted the company’s hats and banners and decorated their fire engines. Many of the capes in the firefighting collection display patriotic names and symbolism, reflecting themes important to 19th century volunteers, as well as the pride they felt in the early founding date of their fire company.', 'This oil cloth cape is blue overall with the name “Hand in Hand” painted in gold text with red shading and the date “1772” in gold with light blue shading below. The number “2” is painted in gold with light blue shading on the shoulders. The cape belonged to a member of the Hand in Hand Fire Company of York, Pennsylvania. The Hand in Hand Company was founded in 1772, and was one of the oldest companies in the country.']",,,,,,,,,,,,,," ['cape, fire uniform'] ['oil cloth (overall material)', 'paint (overall material)']",6,paint,,2,undefined
neckline,"[274, 25, 534, 131]",27560,0.9065253138542176,archive/cropped_images/image_109_neckline_0.jpg,109,Western Company Cape,National Museum of American History,,['Currently not on view'],['Gift of CIGNA Museum and Art Collection'],['2005.0233.0132'],['2005.0233.0132'],['2005.0233'],"['cape, fire uniform']",,"['oil cloth (overall material)', 'paint (overall material)']",['overall: 25 1/2 in x 45 in; 64.77 cm x 114.3 cm'],['United States'],"['Home and Community Life: Fire Fighting and Law Enforcement', 'Cultures & Communities', 'Clothing & Accessories', 'Work', 'Firefighting Collection', 'Firefighting Capes']",['nmah_1326344'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746ac-4ede-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-AHB2012q28337.jpg,"['McCosker, M.J.. The Historical Collection of the Insurance Company of North America', 'McCosker, M.J.. The Historical Collection of Insurance Company of North America']",,,,,,,,,,,,,,,"['Some early American firefighters wore capes for protection, ornamentation, and identification. The stiff oil cloth protected their shoulders and upper body against fiery embers and water, and the decorative painting served to identify company members at chaotic fire scenes or on parade. The capes were often painted by local sign painters, some skilled artists like John A. Woodside, who also painted the company’s hats and banners and decorated their fire engines. Many of the capes in the firefighting collection display patriotic names and symbolism, reflecting themes important to 19th century volunteers, as well as the pride they felt in the early founding date of their fire company.', 'This oil cloth cape is painted black with red trim. A red semi-circular scroll has gold trim with gold lettering that reads “WESTERN.” Just above are the owner’s initials “R.P.” in gold and framed by a sunburst. The number “26” is painted in gold on each shoulder. This cape belonged to a member of the Western Hose Company No. 26, which was organized in 1836. In 1863, they acquired a steam fire engine and served as a hose and steam fire engine company until 1867 when their services were dispensed with by the City Council. That year their firehouse and steam fire engine were purchased by the Fame Hose Company No. 12.']",,,,,,,,,,,,,," ['cape, fire uniform'] ['oil cloth (overall material)', 'paint (overall material)']",6,paint,,2,undefined
neckline,"[259, 0, 579, 62]",19840,0.9923071265220642,archive/cropped_images/image_157_neckline_0.jpg,157,Columbia Company Cape,National Museum of American History,,['Currently not on view'],['Gift of CIGNA Museum and Art Collection'],['2005.0233.0121'],['2005.0233.0121'],['2005.0233'],"['cape, fire uniform']",,"['oil cloth (overall material)', 'paint (overall material)']",['overall: 25 1/2 in x 41 1/2 in; 64.77 cm x 105.41 cm'],['United States'],"['Home and Community Life: Fire Fighting and Law Enforcement', 'Cultures & Communities', 'Clothing & Accessories', 'Work', 'Firefighting Collection', 'Firefighting Capes', 'Art']",['nmah_1326317'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746ac-2d4f-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-AHB2006q05299.jpg,"['McCosker, M.J.. The Historical Collection of the Insurance Company of North America', 'McCosker, M.J.. The Historical Collection of Insurance Company of North America']","['Fire Fighting', 'Fraternal Associations']",,,,,,,,,,,,,,"['Some early American firefighters wore capes for protection, ornamentation, and identification. The stiff oil cloth protected their shoulders and upper body against fiery embers and water, and the decorative painting served to identify company members at chaotic fire scenes or on parade. The capes were often painted by local sign painters, some skilled artists like John A. Woodside, who also painted the company’s hats and banners and decorated their fire engines. Many of the capes in the firefighting collection display patriotic names and symbolism, reflecting themes important to 19th century volunteers, as well as the pride they felt in the early founding date of their fire company.', 'This oil cloth cape is painted blue with gold trim and lettering that reads “COLUMBIA / 1763.” Early American fire companies often linked themselves with patriotic names or symbols. Linked to the goddess of Liberty, Columbia was popularized as the female personification of the United States in the late 18th century, as the country began to agitate for its independence. Actually founded in 1765, Columbia Fire Engine Company began as the Fellowship Engine Company (Lower Ward) in the Germantown area of Philadelphia. The company took the name Columbia around 1809. Incorporated in 1833 as the Columbia Fire Engine and Hose Company of Germantown, it operated as a hand engine company until 1871 when Philadelphia’s paid firefighting department was established.']",,,,,,,,,,,,,," ['cape, fire uniform'] ['oil cloth (overall material)', 'paint (overall material)']",6,paint,"['Fire Fighting', 'Fraternal Associations']",1,costume
sleeve,"[282, 176, 313, 307]",4061,0.9056649804115297,archive/cropped_images/image_160_sleeve_0.jpg,160,"Helmet Frontpiece, “Philadelphia Fire Dept. Engine Co. 73”",National Museum of American History,"[""The frontpiece (also known as shield or badge) of firefighting helmets has been a distinctive part of the American firefighter’s helmet since it was developed by Henry Gratacap in the early 19th century. These frontpieces displayed a variety of information. The fire company's name and number appeared, often alongside the city or town where it was based. The frontpiece could also include the owner's initials and rank. Most fire helmets had leather frontpieces, but frontpieces could also be made of metal, especially on presentation helmets or those worn in parades."", 'This patent leather frontpiece was made by Cairns & Brother of New York, New York the mid-20th century. The black frontpiece has two recessed banners at the top and bottom. Stitching can be seen surrounding the banners and the edge. The upper recessed banner reads “ENGINE” in white paint; the lower recessed banner has the number “13” in white paint. The raised white leather number “73” is stitched in to the center of the frontpiece.']",['Currently not on view'],['Gift of CIGNA Museum and Art Collection'],['2005.0233.1507'],['2005.0233.1507'],['2005.0233'],"['frontpiece, helmet']",,['leather (overall material)'],['overall: 6 in x 4 1/4 in; 15.24 cm x 10.795 cm'],['United States'],"['Home and Community Life: Fire Fighting and Law Enforcement', 'Clothing & Accessories', 'Firefighting Collection', 'Work', 'Helmet Frontpieces']",['nmah_1395408'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746ad-45df-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-AHB2012q00686.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ['frontpiece, helmet'] ['leather (overall material)']",6,paint,,2,undefined
sleeve,"[464, 342, 539, 474]",9900,0.9682619571685792,archive/cropped_images/image_190_sleeve_0.jpg,190,The Morning Ride,National Museum of American History,,['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2313'],['60.2313'],['228146'],['lithograph'],['Lithograph'],"['hand-colored (image production method/technique)', 'ink (overall material)', 'paper (overall material)']","['image: 12 in x 8 1/2 in; 30.48 cm x 21.59 cm', 'overall: 14 in x 10 in; 35.56 cm x 25.4 cm']","['United States: Connecticut, Hartford']","['Home and Community Life: Domestic Life', 'Clothing & Accessories', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_324649'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-3c83-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2003-24783-000001.jpg,"['Peters, Harry T.. America on Stone']","['Horses', 'Adornment']",['Horseback Riding'],,,,,,,,,,,,,"['Sentimental genre prints documented the social image of Victorian virtue through domestic scenes of courtship, family, home life, and images of the “genteel female.” Children are depicted studying nature or caring for their obedient pets as they learn their place in the greater world. Romantic scenes picture devoted husbands with their contented, dutiful wives. In these prints, young women educated in reading, music, needlework, the arts, the language of flowers, basic math and science are subjugated to their family’s needs.', 'These prints became popular as lithography was introduced to 19th Century Americans. As a new art form, it was affordable for the masses and provided a means to share visual information by crossing the barriers of race, class and language. Sentimental prints encouraged the artistic endeavors of schoolgirls and promoted the ambitions of amateur artists, while serving as both moral instruction and home or business decoration. They are a pictorial record of our romanticized past.', 'This hand colored print is of a dark haired woman riding side-saddle on a dapple gray horse. The woman is wearing a long skirt, a vest, a jacket, a bowtie, a large collar and a cavalier hat with bows and feathers. She carries a riding crop in one hand and holds reins of the horse with the other. The bridle and saddle harness on the horse are decorated with fringe.', 'This print was produced by the lithographic firm E.B. & E.C. Kellogg. Edmund Burke Kellogg and Elijah Chapman Kellogg were younger brothers of the founder of the Kellogg lithography firm, Daniel Wright Kellogg. After Daniel Wright Kellogg moved west, his two brothers took over the family lithography firm in 1840 and changed the name to E.B. & E.C. Kellogg. They were responsible for the continued success of the family firm and involved in the partnerships with Horace Thayer in 1845/1846, John Chenevard Comstock in 1848 and William Henry Bulkeley in 1867.']",,,,,,,,,,,,,,"['Lithograph'] ['lithograph'] ['hand-colored (image production method/technique)', 'ink (overall material)', 'paper (overall material)']",4,lithograph,"['Horses', 'Adornment']",5,horses
neckline,"[282, 364, 452, 415]",8670,0.9713823199272156,archive/cropped_images/image_195_neckline_0.jpg,195,Louisa,National Museum of American History,,['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2503'],['60.2503'],['228146'],['lithograph'],['Lithograph'],"['paper (overall material)', 'ink (overall material)']",['image: 11 3/4 in x 8 1/2 in; 29.845 cm x 21.59 cm'],"['United States: Connecticut, Hartford']","['Home and Community Life: Domestic Life', 'Clothing & Accessories', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_324835'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-29cc-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2003-24888-000001.jpg,"['Peters, Harry T.. America on Stone']","['Adornment', 'Flowers']",,,,,,,,,,,,,,"['Sentimental genre prints documented the social image of Victorian virtue through domestic scenes of courtship, family, home life, and images of the “genteel female.” Children are depicted studying nature or caring for their obedient pets as they learn their place in the greater world. Romantic scenes picture devoted husbands with their contented, dutiful wives. In these prints, young women educated in reading, music, needlework, the arts, the language of flowers, basic math and science are subjugated to their family’s needs.', 'These prints became popular as lithography was introduced to 19th Century Americans. As a new art form, it was affordable for the masses and provided a means to share visual information by crossing the barriers of race, class and language. Sentimental prints encouraged the artistic endeavors of schoolgirls and promoted the ambitions of amateur artists, while serving as both moral instruction and home or business decoration. They are a pictorial record of our romanticized past.', 'This three quarter length hand colored portrait print depicts a young woman with brown hair standing with her hands on a balustrade outdoors, between blooming rose bushes. A bright red and gold fringed shawl is draped over the railing. She is wearing a pink dress with lace trim and bows on the sleeves. She is also wearing a double strand pearl necklace.', 'This print was produced by the lithographic firm of Kelloggs & Comstock. In 1848, John Chenevard Comstock developed a partnership with E.B. and E.C. Kellogg. In 1850, Edmund Burke Kellogg left the firm, leaving his brother Elijah Chapman Kellogg and J.C. Comstock to run the lithography firm as Kellogg and Comstock. The short-lived partnership disbanded in 1851. It was not until 1855 that Edmund Burke Kellogg rejoined his brother E.C. Kellogg and continued the success of the family’s lithography firm.']",,,,,,,,,,,,,,"['Lithograph'] ['lithograph'] ['paper (overall material)', 'ink (overall material)']",1,lithograph,"['Adornment', 'Flowers']",5,horses
sleeve,"[172, 277, 283, 396]",13209,0.9404246807098388,archive/cropped_images/image_199_sleeve_0.jpg,199,Father's Pride,National Museum of American History,"['Sentimental genre prints documented the social image of Victorian virtue through domestic scenes of courtship, family, home life, and images of the “genteel female.” Children are depicted studying nature or caring for their obedient pets as they learn their place in the greater world. Romantic scenes picture devoted husbands with their contented, dutiful wives. In these prints, young women educated in reading, music, needlework, the arts, the language of flowers, basic math and science are subjugated to their family’s needs.', 'These prints became popular as lithography was introduced to 19th Century Americans. As a new art form, it was affordable for the masses and provided a means to share visual information by crossing the barriers of race, class, and language. Sentimental prints encouraged the artistic endeavors of schoolgirls and promoted the ambitions of amateur artists, while serving as both moral instruction and home or business decoration. They are a pictorial record of our romanticized past.', 'This is a black and white print; full length frontal view of a young boy seated outdoors with one leg folded under him, dressed in velvet and lace. The companion print is ""Mother\'s Joy"" (60.2224)', 'The drawing was produced by Napoleon Sarony and lithographed and published by his firm of Sarony & Major. Sarony and his partner Henry B. Major were former employees of Nathaniel Currier prior to establishing their firm in New York City in 1846.']",['Currently not on view'],"['Harry T. Peters ""America on Stone"" Lithography Collection']",['DL.60.2223'],['60.2223'],['228146'],['lithograph'],['Lithograph'],"['paper (overall material)', 'ink (overall material)']","['image: 12 in x 8 5/8 in; 30.48 cm x 21.9075 cm', 'overall: 18 in x 13 1/2 in; 45.72 cm x 34.29 cm']","['United States: New York, New York City']","['Home and Community Life: Domestic Life', 'Clothing & Accessories', 'Art', 'Peters Prints', 'Domestic Furnishings']",['nmah_324570'],['CC0'],['https://n2t.net/ark:/65665/ng49ca746a1-37fc-704b-e053-15f76fa0b4fa'],https://ids.si.edu/ids/deliveryService?max_w=800&id=NMAH-2003-24759-000001.jpg,"['Peters, Harry T.. America on Stone']",['Children'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lithograph'] ['lithograph'] ['paper (overall material)', 'ink (overall material)']",1,lithograph,['Children'],1,costume
